date,nav
08-09-2026,249.58430
07-09-2026,248.89010
04-09-2026,249.94140
03-09-2026,249.88380
02-09-2026,248.94760
01-09-2026,250.66340
31-08-2026,252.96400
28-08-2026,252.81800
27-08-2026,252.87890
26-08-2026,251.77110
25-08-2026,252.33970
24-08-2026,250.70610
21-08-2026,250.94620
20-08-2026,250.95330
19-08-2026,250.71350
18-08-2026,251.66780
17-08-2026,253.03730
14-08-2026,252.26880
13-08-2026,252.73770
12-08-2026,252.70060
11-08-2026,253.54190
10-08-2026,254.57980
07-08-2026,255.99320
06-08-2026,254.25010
05-08-2026,256.12070
04-08-2026,254.50240
03-08-2026,254.19650
31-07-2026,252.20890
30-07-2026,251.60490
29-07-2026,253.43890
28-07-2026,250.15270
27-07-2026,251.26990
24-07-2026,249.27150
23-07-2026,248.75760
22-07-2026,250.03750
21-07-2026,255.40540
20-07-2026,255.15960
17-07-2026,254.19990
16-07-2026,254.06990
15-07-2026,253.68380
14-07-2026,252.64880
13-07-2026,253.79200
10-07-2026,252.75360
09-07-2026,250.21460
08-07-2026,246.67100
07-07-2026,250.00290
06-07-2026,250.93770
03-07-2026,251.33420
02-07-2026,251.50080
01-07-2026,250.44840
30-06-2026,250.95400
29-06-2026,250.64940
25-06-2026,249.31200
24-06-2026,249.84120
23-06-2026,249.98140
22-06-2026,252.06940
19-06-2026,251.57130
18-06-2026,249.15530
17-06-2026,246.39250
16-06-2026,245.24020
15-06-2026,244.62900
12-06-2026,244.72050
11-06-2026,240.58860
10-06-2026,241.91860
09-06-2026,244.23470
08-06-2026,242.15940
05-06-2026,246.08780
04-06-2026,246.07840
03-06-2026,245.65930
02-06-2026,246.85660
01-06-2026,246.98140
29-05-2026,248.66730
27-05-2026,251.22730
26-05-2026,251.27020
25-05-2026,249.22660
22-05-2026,247.80390
21-05-2026,248.88530
20-05-2026,244.71990
19-05-2026,241.67710
18-05-2026,241.26150
15-05-2026,242.09520
14-05-2026,243.53140
13-05-2026,240.07460
12-05-2026,238.15280
11-05-2026,242.72190
08-05-2026,244.62010
07-05-2026,245.60550
06-05-2026,245.38780
05-05-2026,242.95940
04-05-2026,242.76550
30-04-2026,240.53530
29-04-2026,242.34500
28-04-2026,242.62410
27-04-2026,241.25170
24-04-2026,238.14560
23-04-2026,239.75830
22-04-2026,238.57020
21-04-2026,236.45980
20-04-2026,235.19610
17-04-2026,236.21330
16-04-2026,233.31800
15-04-2026,231.54340
13-04-2026,226.98090
10-04-2026,228.69930
09-04-2026,224.62350
08-04-2026,224.59090
07-04-2026,217.96040
06-04-2026,217.64130
02-04-2026,216.27950
01-04-2026,216.76270
31-03-2026,212.35710
30-03-2026,212.35610
27-03-2026,215.97900
25-03-2026,218.68660
24-03-2026,214.91640
23-03-2026,210.11500
20-03-2026,215.88190
19-03-2026,214.08990
18-03-2026,219.40770
17-03-2026,215.87230
16-03-2026,213.40910
13-03-2026,212.78840
12-03-2026,216.83130
11-03-2026,217.26380
10-03-2026,217.21510
09-03-2026,213.72110
06-03-2026,215.12440
05-03-2026,216.04330
04-03-2026,213.86320
02-03-2026,217.44490
27-02-2026,221.21080
26-02-2026,223.82800
25-02-2026,222.64820
24-02-2026,220.56050
23-02-2026,221.70510
20-02-2026,221.34080
19-02-2026,220.41320
18-02-2026,223.26080
17-02-2026,222.97730
16-02-2026,222.49540
13-02-2026,222.57480
12-02-2026,225.42450
11-02-2026,225.69290
10-02-2026,225.19960
09-02-2026,224.51980
06-02-2026,221.73980
05-02-2026,220.82750
04-02-2026,220.85430
03-02-2026,220.15360
02-02-2026,215.36870
30-01-2026,217.36270
29-01-2026,215.82060
28-01-2026,216.54810
27-01-2026,214.53240
23-01-2026,214.91300
22-01-2026,218.23780
21-01-2026,216.46310
20-01-2026,220.30030
19-01-2026,224.66870
16-01-2026,224.95280
14-01-2026,225.39530
13-01-2026,225.48150
12-01-2026,226.25870
09-01-2026,227.02650
08-01-2026,229.22630
07-01-2026,233.31320
06-01-2026,233.04090
05-01-2026,234.50690
02-01-2026,236.41320
01-01-2026,235.25900
31-12-2025,235.50630
30-12-2025,234.37540
29-12-2025,235.98540
26-12-2025,236.98480
24-12-2025,237.65300
23-12-2025,238.76290
22-12-2025,238.04470
19-12-2025,236.96310
18-12-2025,234.70450
17-12-2025,234.31330
16-12-2025,235.70840
15-12-2025,238.37730
12-12-2025,238.11250
11-12-2025,236.16150
10-12-2025,234.27460
09-12-2025,234.72470
08-12-2025,234.30840
05-12-2025,238.01100
04-12-2025,238.01410
03-12-2025,238.60280
02-12-2025,239.28740
01-12-2025,240.11950
28-11-2025,240.04280
27-11-2025,240.95650
26-11-2025,240.60920
25-11-2025,237.44390
24-11-2025,238.08580
21-11-2025,240.21400
20-11-2025,242.10440
19-11-2025,241.85870
18-11-2025,241.34640
17-11-2025,242.36250
14-11-2025,240.14220
13-11-2025,240.68510
12-11-2025,240.83330
11-11-2025,239.26950
10-11-2025,239.01480
07-11-2025,238.53950
06-11-2025,238.33670
04-11-2025,241.39910
03-11-2025,242.43600
31-10-2025,241.24100
30-10-2025,241.59120
29-10-2025,242.12690
28-10-2025,240.59060
27-10-2025,241.11160
24-10-2025,238.55860
23-10-2025,238.17410
20-10-2025,238.56580
17-10-2025,237.95850
16-10-2025,239.73860
15-10-2025,238.45860
14-10-2025,236.66680
13-10-2025,237.22620
10-10-2025,238.75690
09-10-2025,235.93800
08-10-2025,232.78110
07-10-2025,233.95910
06-10-2025,233.81850
03-10-2025,233.37890
01-10-2025,231.36910
30-09-2025,229.52820
26-09-2025,229.74300
25-09-2025,233.87710
24-09-2025,235.11270
23-09-2025,236.44530
22-09-2025,236.63080
19-09-2025,238.75510
18-09-2025,239.20090
17-09-2025,238.48040
16-09-2025,238.55530
15-09-2025,236.80300
12-09-2025,235.50090
11-09-2025,234.58140
10-09-2025,232.91720
09-09-2025,231.76010
08-09-2025,230.33340
05-09-2025,230.02610
04-09-2025,230.31470
03-09-2025,231.83080
02-09-2025,230.25640
01-09-2025,230.56000
29-08-2025,228.18410
28-08-2025,228.61610
26-08-2025,231.52440
25-08-2025,234.82660
22-08-2025,234.64730
21-08-2025,235.99250
20-08-2025,237.68750
19-08-2025,238.16060
18-08-2025,235.89660
14-08-2025,235.41450
13-08-2025,235.05280
12-08-2025,233.81600
11-08-2025,234.27090
08-08-2025,232.48970
07-08-2025,235.67910
06-08-2025,235.13930
05-08-2025,236.25070
04-08-2025,237.98360
01-08-2025,235.53400
31-07-2025,240.15810
30-07-2025,243.45610
29-07-2025,243.06130
28-07-2025,240.37700
25-07-2025,242.22850
24-07-2025,244.72590
23-07-2025,245.91230
22-07-2025,244.27000
21-07-2025,246.48610
18-07-2025,246.05880
17-07-2025,247.61990
16-07-2025,247.86510
15-07-2025,247.64960
14-07-2025,246.36030
11-07-2025,245.42670
10-07-2025,247.92590
09-07-2025,248.25050
08-07-2025,249.01420
07-07-2025,249.68770
04-07-2025,250.23430
03-07-2025,248.61830
02-07-2025,249.10570
01-07-2025,248.28820
30-06-2025,247.82730
27-06-2025,247.14610
26-06-2025,246.32230
25-06-2025,243.87750
24-06-2025,242.58750
23-06-2025,242.26740
20-06-2025,241.43830
19-06-2025,238.56300
18-06-2025,241.99560
17-06-2025,243.23150
16-06-2025,245.61500
13-06-2025,243.69350
12-06-2025,245.07360
11-06-2025,248.66570
10-06-2025,248.96190
09-06-2025,249.38530
06-06-2025,246.85390
05-06-2025,246.35900
04-06-2025,244.55630
03-06-2025,242.91490
02-06-2025,242.98490
30-05-2025,243.28810
29-05-2025,245.59560
28-05-2025,244.18980
27-05-2025,244.84710
26-05-2025,244.66170
23-05-2025,243.17780
22-05-2025,242.51250
21-05-2025,243.74660
20-05-2025,241.44050
19-05-2025,244.83960
16-05-2025,245.97440
15-05-2025,244.82280
14-05-2025,242.83230
13-05-2025,239.39580
12-05-2025,239.46420
09-05-2025,231.15890
08-05-2025,231.23960
07-05-2025,235.41200
06-05-2025,233.28860
05-05-2025,238.12590
02-05-2025,234.77150
30-04-2025,236.41840
29-04-2025,237.56590
28-04-2025,237.84030
25-04-2025,234.11170
24-04-2025,239.26360
23-04-2025,239.17520
22-04-2025,237.21510
21-04-2025,236.18130
17-04-2025,233.07000
16-04-2025,231.07710
15-04-2025,229.19420
11-04-2025,223.76780
09-04-2025,220.37870
08-04-2025,221.45250
07-04-2025,216.23630
04-04-2025,223.14210
03-04-2025,230.67280
02-04-2025,229.46580
01-04-2025,226.65970
31-03-2025,227.72340
28-03-2025,227.71980
27-03-2025,228.43030
26-03-2025,226.77850
25-03-2025,228.56380
24-03-2025,231.56300
21-03-2025,228.95350
20-03-2025,226.42200
19-03-2025,224.17580
18-03-2025,219.81790
17-03-2025,216.04260
13-03-2025,215.28160
12-03-2025,216.59170
11-03-2025,215.84260
10-03-2025,215.32820
07-03-2025,217.73490
06-03-2025,217.36140
05-03-2025,214.35130
04-03-2025,208.14790
03-03-2025,208.67430
