date,nav
08-09-2026,111.15660
07-09-2026,111.23630
04-09-2026,111.60670
03-09-2026,111.86370
02-09-2026,111.56080
01-09-2026,112.04800
31-08-2026,112.93090
28-08-2026,112.62990
27-08-2026,112.63030
26-08-2026,112.71380
25-08-2026,112.66090
24-08-2026,112.05330
21-08-2026,112.22010
20-08-2026,112.24470
19-08-2026,111.59570
18-08-2026,112.00960
17-08-2026,112.26290
14-08-2026,112.48540
13-08-2026,112.69370
12-08-2026,112.84830
11-08-2026,112.92740
10-08-2026,113.07220
07-08-2026,112.79410
06-08-2026,113.18340
05-08-2026,113.17600
04-08-2026,112.91600
03-08-2026,113.38010
31-07-2026,111.56850
30-07-2026,110.67620
29-07-2026,110.38760
28-07-2026,109.33760
27-07-2026,109.36780
24-07-2026,108.04840
23-07-2026,108.58630
22-07-2026,109.22790
21-07-2026,110.18590
20-07-2026,109.88950
17-07-2026,109.85820
16-07-2026,109.28670
15-07-2026,109.67750
14-07-2026,109.01880
13-07-2026,109.60500
10-07-2026,109.79690
09-07-2026,108.73620
08-07-2026,107.95980
07-07-2026,110.09970
06-07-2026,110.25320
03-07-2026,109.36720
02-07-2026,109.48830
01-07-2026,108.68950
30-06-2026,108.00880
29-06-2026,107.78040
25-06-2026,108.37580
24-06-2026,108.29440
23-06-2026,107.54210
22-06-2026,108.46810
19-06-2026,107.96360
18-06-2026,108.00810
17-06-2026,107.53480
16-06-2026,107.01400
15-06-2026,106.59770
12-06-2026,105.21240
11-06-2026,102.88080
10-06-2026,103.18730
09-06-2026,103.52590
08-06-2026,102.48450
05-06-2026,103.81020
04-06-2026,103.64210
03-06-2026,103.48090
02-06-2026,103.59590
01-06-2026,103.09480
31-05-2026,104.30830
29-05-2026,104.31290
27-05-2026,105.92960
26-05-2026,105.51150
25-05-2026,105.92170
22-05-2026,104.77080
21-05-2026,104.49150
20-05-2026,104.60460
19-05-2026,104.27670
18-05-2026,104.15560
15-05-2026,104.29180
14-05-2026,104.55310
13-05-2026,103.39600
12-05-2026,103.33840
11-05-2026,105.60660
08-05-2026,107.15000
07-05-2026,107.67290
06-05-2026,107.33540
05-05-2026,105.83870
